problem,result
p0,0
p1,0
p2,0
p3,0
p4,0
p5,0
p6,0
p7,0
p8,2
p9,1
p10,98
p11,509
p12,467
p13,90
p14,18
p15,134
p16,148
p17,37
p18,1758
p19,3420
