problem,result
p0,8
p1,11
p2,11
p3,10
p4,16
p5,15
p6,17
p7,13
p8,35
p9,30
p10,144
p11,122
p12,119
p13,111
p14,152
p15,120
p16,115
p17,111
p18,103
p19,127
